	year	month	arr_flights	arr_del15	 arr_delay	delay_type	value
404	2011	9	487468	73512	3888719	nas_delay	1014824
405	2011	10	504397	68219	3441542	nas_delay	863539
406	2011	11	478040	66279	3335437	nas_delay	907791
407	2011	12	493888	72613	3765605	nas_delay	889345
408	2012	1	486133	70908	3850425	nas_delay	984413
409	2012	2	464826	58987	2992529	nas_delay	684334
410	2012	3	521628	86476	4744040	nas_delay	1038001
411	2012	4	505218	63639	3310043	nas_delay	644874
412	2012	5	518423	80453	4486545	nas_delay	1046010
413	2012	6	526933	94684	5526265	nas_delay	1176826
414	2012	7	545131	121396	7643674	nas_delay	1740721
415	2012	8	540793	104434	6166141	nas_delay	1333356
416	2012	9	490199	77075	4262193	nas_delay	1043458
417	2012	10	515254	86545	4466517	nas_delay	1093078
418	2012	11	488006	63834	3443886	nas_delay	714364
419	2012	12	494218	106727	6024434	nas_delay	1329387
420	2013	1	509519	88210	4798252	nas_delay	1148931
421	2013	2	469746	83565	4493830	nas_delay	1119658
422	2013	3	552312	101743	5704792	nas_delay	1447591
423	2013	4	536393	111306	6648035	nas_delay	1765792
424	2013	5	548642	105278	6097504	nas_delay	1592755
425	2013	6	552141	143184	9360395	nas_delay	2243833
426	2013	7	571623	142559	8728724	nas_delay	2170773
427	2013	8	562921	112650	6111797	nas_delay	1398283
428	2013	9	510806	77134	4196632	nas_delay	1014977
429	2013	10	535344	81338	3918255	nas_delay	932630
430	2013	11	503296	77352	3945789	nas_delay	897294
431	2013	12	516739	144958	7933597	nas_delay	1694349
432	2014	1	471949	119994	7687929	nas_delay	1476657
433	2014	2	430602	101440	5817661	nas_delay	1369808
434	2014	3	503758	102297	5352248	nas_delay	1168846
435	2014	4	483499	91806	4879163	nas_delay	1185096
436	2014	5	499278	104145	6093824	nas_delay	1493938
437	2014	6	502617	129706	7755285	nas_delay	1788826
438	2014	7	520880	117151	6865014	nas_delay	1503200
439	2014	8	507491	105706	6066485	nas_delay	1381727
440	2014	9	469489	81178	4361717	nas_delay	1200983
441	2014	10	491011	92285	4969164	nas_delay	1416315
442	2014	11	462054	84657	4517246	nas_delay	1117363
443	2014	12	477183	110163	5951225	nas_delay	1416790
444	2015	1	469968	95951	5439862	nas_delay	1278055
445	2015	2	429191	95179	5635596	nas_delay	1349173
446	2015	3	504312	95452	5438910	nas_delay	1228893
447	2015	4	485151	82247	4619308	nas_delay	1118027
448	2015	5	496993	89645	5437359	nas_delay	1254652
449	2015	6	503897	115742	7370820	nas_delay	1630868
450	2015	7	520718	107627	6386504	nas_delay	1343455
451	2015	8	510536	94113	5616471	nas_delay	1274603
452	2015	9	464946	60061	3291587	nas_delay	786621
453	2015	10	486165	60079	3315230	nas_delay	802697
454	2015	11	467972	70571	4040704	nas_delay	981254
455	2015	12	479230	96772	6059516	nas_delay	1287464
456	2016	1	445827	70882	4122129	nas_delay	898816
457	2016	2	423889	61680	3995488	nas_delay	1018818
458	2016	3	479122	82569	4861570	nas_delay	1302715
459	2016	4	461630	66607	3848737	nas_delay	893529
460	2016	5	479358	75498	4416714	nas_delay	1025535
461	2016	6	487637	100361	6400240	nas_delay	1364953
462	2016	7	502457	113601	8097727	nas_delay	1872888
463	2016	8	498347	103421	7021740	nas_delay	1637369
464	2016	9	454878	63686	3667339	nas_delay	964077
465	2016	10	472626	63470	3513518	nas_delay	947610
466	2016	11	450938	58871	3270250	nas_delay	812488
467	2016	12	460949	103593	6634908	nas_delay	1431819
468	2004	1	583987	128236	6509522	security_delay	15364
469	2004	2	553876	114517	5388895	security_delay	11295
470	2004	3	601412	104031	4986958	security_delay	8872
471	2004	4	582970	93754	4217846	security_delay	9601
472	2004	5	594457	121019	6981742	security_delay	8724
473	2004	6	588792	148726	8257792	security_delay	14876
474	2004	7	614166	135999	7570677	security_delay	14033
475	2004	8	623107	123884	6704797	security_delay	15655
